factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
return_skew,Daily,-1,0.037982945928973125,0.12328661841496501,0.3080865006797656,0.6208791208791209,-0.9240229191815482,-0.6181408433788551,0.3453014379825861,-0.11841651172233925,-0.5818136772544017,-0.04251087006943188,-0.40436963236424717,0.6048582969032473,1456,205.02053388090349,-0.13167380305269383,-0.10657698794505521,-0.11644643365792062,-0.11756907437405062
intraday_rv_corr,Intraday,-1,0.026604203646672736,0.11054505888929032,0.2406638660048831,0.6023351648351649,-0.9255934900332832,-0.6790351417910638,0.41091266616661365,-0.1064158266515175,-0.5875101630440622,0.0043704583028183475,-0.412076134105561,0.6383772102471058,1456,208.5359342915811,-0.2663478452941652,-0.10366502997397187,-0.0002201456228244636,-0.029015146905660094
return_kurtosis,Daily,-1,0.020546530280824295,0.11233199334489273,0.18290896333202858,0.5803571428571428,-0.9298588690872797,-0.5468679048262154,0.28144543992532606,-0.10552815898412893,-0.5409379008277371,-0.09951150460330072,-0.43994572950089494,0.6409106205282461,1456,193.90417522245036,-0.14075342859208184,-0.18979287690342794,-0.04579066122579878,-0.03519412188801796
sharpe_rolling,Daily,-1,0.041446631083285744,0.15063953493307283,0.2751377873698433,0.6181318681318682,-0.935382917250543,-0.5320283757217514,0.18490309529445947,-0.13688865554356022,-0.5326571119969453,-0.1771358436096322,-0.4937481668686633,0.5558632176441141,1456,195.06913073237507,-0.34474783089654326,-0.12456371506941277,-0.07935089050684918,0.052545282581505814
upper_shadow,Daily,-1,0.01599711833990528,0.11804906772617382,0.13551243811503663,0.5480769230769231,-0.9605706498444937,-0.7580405857551332,0.4852840499484081,-0.1178434141634962,-0.6227171417923523,0.07414659454725303,-0.4330839716424524,0.606428331351541,1456,209.97056810403834,-0.05663483102259037,-0.1765307339177956,-0.2113605894774242,-0.010140000986869957
mfi,Daily,-1,0.04430521895789324,0.12218327116220425,0.3626127775949633,0.6366758241758241,-1.0055526541682973,-0.7384096902575272,0.4011111541708025,-0.13370647988757822,-0.6053950821287559,-0.0005983364110830891,-0.4694026309622731,0.5640834866568656,1456,206.75701574264204,-0.23626715842904733,-0.15750596751917356,-0.09814700307206392,-0.027925985681766297
vol_equality,Intraday,-1,0.033457308750429016,0.13991182224586543,0.23913137447614066,0.6050824175824177,-1.0082706683012175,-0.6061810702140904,0.32020728652135666,-0.14605804906459485,-0.6125689008383031,-0.04400809140501527,-0.49349150536822295,0.5326781312078372,1456,208.5359342915811,-0.1125484439639709,0.0681249378555635,0.005344109074143066,-0.441036538199605
parkinson_vol,Daily,-1,0.08012794869555485,0.23319674042736263,0.34360662637326733,0.6380494505494505,-1.0151541425603947,-0.5961863271518789,0.18074726322978876,-0.21757195441968913,-0.6363742087775311,-0.08661074587648587,-0.6395331322976406,0.37579012942506335,1456,205.26899383983573,-0.286721952721807,-0.07919605728543622,-0.1287451407917617,-0.3432892472519119
trend_strength_intra,Intraday,-1,0.011266741943455973,0.13181503171647344,0.085473871545632,0.5267857142857143,-1.0236828484571368,-0.815121232295049,0.44116622472373174,-0.1422986054023857,-0.6277237244725804,0.02285639884152224,-0.4774001119935445,0.5420945337016873,1456,209.97056810403834,-0.1538523960930701,-0.17964977901819756,-0.14809411518604632,-0.083277308816182
cpv_first_half,Intraday,-1,0.01092497191397665,0.1251674985958453,0.08728281034379623,0.532967032967033,-1.0493885356549557,-0.8469282233194757,0.48940695133615975,-0.1365999126078976,-0.6385715691639939,0.06667048398993503,-0.4630135009760509,0.5566053786285609,1456,208.5359342915811,-0.1528658779129164,-0.14131263788799464,-0.1613470222204657,-0.08761558335126218
