logic,window,penalty,dir_th,opt_sharpe,opt_ret,opt_dd,test_sharpe,test_ret,test_dd,test_total
sma+dir,21,50,0.002,1.7408628074845254,0.6131662673723084,0.22303622740853976,1.245225078699164,0.36616265995053054,0.1711800023639576,0.04813728805094497
sma+dir,21,50,0.003,1.7438807267540903,0.6176605716585886,0.21527884552450854,1.8180346597462942,0.6099189794790605,0.15867010793264832,0.07439072287736836
sma,21,100,OFF,1.445593908739012,0.488515897243478,0.27687779885231245,2.1378045023717687,0.7661054747678122,0.118060028320302,0.08948607803406583
ewm,21,100,OFF,1.6526334632778026,0.5910311324280633,0.23950300676426625,2.3413112039376114,0.8508237028062722,0.11823560472525517,0.09720526937436214
sma+dir,21,100,0.001,1.433218609781932,0.47004049980782536,0.2890756839155623,3.143834703063321,1.0856679033851426,0.1305176064389674,0.11713442431862942
sma+dir,21,100,0.002,1.6444794696753888,0.5662489705565537,0.27714680566105765,2.5304666165758767,0.9067377308752809,0.16120323788464597,0.10213710606579807
sma+dir,21,100,0.003,1.709358191089749,0.5981935272982617,0.27157364228113573,2.5642540687036885,0.9392625664440963,0.14749163159274614,0.1049496877987357
sma,21,150,OFF,1.493234077252304,0.5129934537837106,0.27173277684242525,1.9711207918770792,0.6405538909677579,0.12012906551870443,0.07744678339174405
ewm,21,150,OFF,1.7961201215802294,0.6775990910249716,0.2498592297283116,3.8113608493356077,1.8051293338236887,0.1130427340127822,0.16815305877745867
sma+dir,21,150,0.001,1.4061538145634083,0.4649754083420681,0.3072941939794984,2.6644123393709416,0.8865168072579628,0.1357545787837482,0.10036789457582462
sma+dir,21,150,0.002,1.5990242929664797,0.5498491444255615,0.2788480248274402,2.2433524978614647,0.7545609940744267,0.16023214105913347,0.08840996470735374
sma+dir,21,150,0.003,1.675123363270827,0.5865270023579874,0.2672502077791025,2.6506653003143206,0.9836190662830526,0.15050586080198627,0.10872152636197363
sma,21,200,OFF,1.7752849084628823,0.649296595886617,0.2731439734517476,2.8815568101332922,1.1695561763220303,0.12462266023177908,0.12379223253247806
ewm,21,200,OFF,1.854522309933909,0.7082867182539234,0.26356271895236977,3.415893474544386,1.3895421112635726,0.13288131568346007,0.14026638868531993
sma+dir,21,200,0.001,1.5614593725790986,0.5380320623679866,0.32620761440118123,2.9353731456674126,1.0769882020469712,0.13608638629408984,0.1164326399585125
sma+dir,21,200,0.002,1.742560923007393,0.6246881787976022,0.2990809037794537,2.603225261863591,0.9821914465987047,0.16161235114680622,0.10860125026424106
sma+dir,21,200,0.003,1.8577119638468287,0.6831416413340108,0.2895301042525244,2.94835916319515,1.2156033146110543,0.15383140199728115,0.12735433533652762
